Transaction, Category, Amount
Paid NPR 350 for NTC mobile topup, Mobile Topup, 350
Sent Rs 2000 to Sita Bank for tuition, Education, 2000
Going to Pokhara on bus at the ticket price of NPR 350, Transportation, 350
Dinner at the Hilton Hotel for NPR 1500, Food, 1500
Buying a new t-shirt for the party at price of NPR 950, Shopping, 950
Going to office on taxi with fare of Rs 250, Transportation, 250
Paid NPR 250 for NTC mobile topup, Mobile Topup, 250
Paid for online course fee of Rs. 280, Education, 280
Paid NPR 150 for Ncell mobile topup, Mobile Topup, 150
Got the salary of NRP 65000, Salary, 65000